,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,working_capital_to_assets,Attr25,Attr24,Attr30,Attr12,Attr55,Attr41,retained_earnings_to_assets,Attr56,Attr29,Attr45,Attr21,cash_to_current_liabilities,Attr58,Attr57,Attr47
2246,risky_upgrade,1,3,CCC,B,CCC→B,1,0.081671,0.051184,0.038522,0.43801,0.044795,659.0,-2.2021499999999996,0.0,0.001575,3.9068,0.062327,1.0452,-76.581,0.97971,0.24192,90.536
2247,risky_upgrade,1,1,B,BB,B→BB,1,-0.19905,0.14218,0.089522,0.45638,0.21964,-7371.0,0.24679,0.0,0.23902,4.5686,1.6291,1.0452,-57.769,0.78417,0.31664,10.852
2248,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.34665,-0.45414,-0.17997,0.794,-0.18875,-6341.0,-0.28823,-0.43095,0.026425,4.2623,-0.43887,1.0452,-207.04,0.96751,-2.9482139999999997,113.68
2249,risky_upgrade,1,1,B,BB,B→BB,1,0.07811,0.11239,0.010984,0.71237,0.020144,12253.0,0.97961,-0.017461,0.019492,5.1955,0.02915,1.0452,-90.07,0.89153,0.043451,119.66
2250,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.14715,-0.16124,-0.073233,0.79113,-0.10843,-700.0,0.95246,-0.19317,-0.17378,3.6773,-0.52663,1.0452,-87.455,1.0034,-0.30505,45.249
2251,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.57977,-0.31183,0.001409,0.80282,0.001966,-4241.0,1.0311,-0.33821,0.15174,3.8642,0.016621,1.0452,-197.49,0.76569,0.013118,25.546
2252,risky_upgrade,1,3,B,BB,B→BB,1,0.070537,0.069773,-0.009726,0.56429,-0.039578,463.49,-2.2021499999999996,0.0,0.21049,3.8176,-0.30282,1.0452,15.647,1.0055,-0.017613,14.283
2253,risky_upgrade,1,1,CCC,B,CCC→B,1,0.064415,-0.11421,-0.058064,0.42476,0.13372,1053.0,0.31293,-0.22377,0.19339,4.2134,0.27599,0.96547,-28.32,0.77536,0.12722,44.6
2254,risky_upgrade,1,1,CCC,B,CCC→B,1,0.33607,0.043494,0.11855,0.31215,0.17856,239.46,0.27899,-0.018694,0.039863,2.8528,0.282825,1.0452,-89.361,0.9117,0.24338,0.0
2255,risky_upgrade,1,1,B,BB,B→BB,1,-0.033724,0.068845,0.017922,0.99742,0.039059,-193.0,0.18633,0.0,0.005144,3.7576,0.28188,1.0452,-41.416,0.94109,0.072559,21.596
2256,risky_upgrade,1,1,B,BB,B→BB,1,0.24002,0.21051,0.11716,0.38503,0.26318,4255.0,0.20933,-0.14559,0.28117,4.2487,0.25994,1.0452,-35.608,0.72896,0.29422,92.169
2257,risky_upgrade,1,1,CCC,B,CCC→B,1,0.28123,0.25226,-0.044683,0.90386,-0.15266,2330.0,-1.5553,0.0,0.38858,3.9183,-0.14087,1.0452,-69.19,0.61496,-0.13389,157.55
2258,risky_upgrade,1,1,B,BB,B→BB,1,0.5345,0.30854,0.10755,0.1235,0.000908,2084.0,0.33315,0.0,0.11199,3.591,-0.004369,1.0647,57.287,0.88631,-0.001583,44.512
2259,risky_upgrade,1,1,B,BB,B→BB,1,0.069325,0.35829,0.01397,0.22492,0.02619,827.12,0.48656,0.002093,0.1149,4.0767,0.030137,1.0452,-43.729,0.89633,0.024949,54.952
2260,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.042658,0.15258,-0.15655,0.74985,-0.23528,-1472.0,-0.25758,0.0,0.10808,4.5379,-0.33633,0.81904,-180.11,0.9941,-0.62305,158.65
2261,risky_upgrade,1,1,CCC,B,CCC→B,1,0.076413,-0.29155,0.006197,0.4085,0.007884,346.0,1.0356,-0.48609,0.095121,3.6559,0.027515,1.0452,-21.365,0.90536,-0.033885,29.356
2262,risky_upgrade,1,1,CCC,B,CCC→B,1,0.1328,0.003016,0.014522,0.24066,0.030209,11714.0,1.2005,-0.028693,0.17591,4.9455,0.030546,1.0452,-8.8959,0.81735,0.026762,20.182
2263,risky_upgrade,1,1,CCC,B,CCC→B,1,0.015501,-0.13278,-0.026417,0.23907,-0.033128,1251.0,-1.3497,-0.14917,0.83921,4.9069,-0.30155,1.0452,-7.9381,0.16267,-0.13013,9.6118
2264,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.25033,0.18558,0.011348,0.14883,0.015247,-375.0,1.2389,0.013351,0.3074,3.1755,0.1129,1.0452,-24.571,0.7358,0.018277,3.2045
2265,risky_upgrade,1,1,B,BB,B→BB,1,0.62386,0.71313,0.63115,-0.043496,1.4233,998.18,0.023952,0.0,0.15726,3.2041,2.5239,1.184,44.825,0.84141,0.38227,10.229
2266,risky_upgrade,1,1,B,BB,B→BB,1,0.16066,0.21417,0.09117,0.34863,0.093834,1057.0,0.29682,0.0,0.019963,3.8182,0.095759,1.1786,-27.55,0.97279,0.13088,53.838
2267,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.18061,-1.1556,-1.034518,3.9688,-1.745,-4442.0,-0.071712,-1.880592,0.5079,4.3908,-10.095080000000001,0.37993,-144.7,1.6584000000000014,-2.9482139999999997,2.3412
2268,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.3141,-0.26738,0.03412,0.31493,0.067162,-1351.0,0.21598,-0.34945,0.24304,3.6336,0.62346,1.0452,-81.447,0.76058,0.082213,12.238
2269,risky_upgrade,1,1,B,BB,B→BB,1,0.009781,0.23452,0.014633,2.2213,0.094027,945.75,0.56672,-0.036908,0.2931,4.9854,0.29687,1.3035,-82.0,0.78308,0.020126,47.023
2270,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.010134,0.15975,0.031024,0.24693,0.064306,-28.0,0.46552,-0.17629,0.19746,3.4414,0.17961,1.0452,-28.994,0.79987,0.10315,27.547
2271,risky_upgrade,1,1,B,BB,B→BB,1,-0.061528,0.21404,0.14912,0.1939,0.20941,-439.0,0.14417,0.0,0.1118,3.8534,0.58841,1.0452,-29.792,0.90022,0.54978,23.817
2272,risky_upgrade,1,1,B,BB,B→BB,1,0.08212,-0.23619,-0.044259,0.36731,-0.069754,56.74,1.6087,-0.19193,-0.012945,2.8394,-0.25601,1.0452,-20.211,1.0038,-0.12913,34.824
2273,risky_upgrade,1,1,B,BB,B→BB,1,0.39722,0.1814,0.072949,0.37149,0.16585,1258.0,0.1452,-0.13554,0.029736,3.5006,0.26629,1.0452,-72.458,0.95927,0.2801,49.587
2274,risky_upgrade,1,1,B,BB,B→BB,1,0.13068,0.37047,0.039905,0.25336,0.066371,233.0,0.27617,0.0,0.016837,3.2512,0.10202,1.0452,-21.687,0.9757,0.067427,41.107
2275,risky_upgrade,1,1,CCC,B,CCC→B,1,0.217,0.071998,0.018367,0.4265,0.043111,5612.0,0.43656,-0.002823,-0.000474,4.4127,0.047096,1.0452,-36.559,0.97748,0.053437,65.125
2276,risky_upgrade,1,1,CCC,B,CCC→B,1,0.042307,0.066411,0.029063,0.28745,0.045179,5066.9,0.26713,0.018169,0.025501,5.0783,0.064123,1.2743,-28.498,0.9745,0.27359,33.176
2277,risky_upgrade,1,1,B,BB,B→BB,1,-0.041939,0.029503,0.028733,0.63206,0.053243,-756.0,0.32496,0.020089,0.033972,4.2559,0.097452,1.0629,-64.487,0.96603,0.68093,50.851
2278,risky_upgrade,1,1,B,BB,B→BB,1,0.10031,0.36558,0.031895,0.37711,0.090987,8322.0,0.35876,0.1213,0.074112,4.9189,0.12638,1.0452,-38.624,0.92156,0.058289,67.662
2279,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.43695,0.019747,0.014975,0.38949,0.01889,-2578.0,0.67981,0.0,0.00969,3.7709,0.043174,1.0452,-112.92,0.99062,0.18026,45.601
2280,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.016243,0.22217,0.00659,0.32514,0.039492,-43.06,0.78787,0.0,0.32346,3.4234,0.007624,1.0452,-16.708,0.66397,0.001647,13.426
2281,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.10391,0.5024,0.007087,0.2435,0.015395,8197.0,0.18049,0.007087,0.022297,4.897,0.022513,1.0748,-42.122,0.9777,0.014106,59.808
2282,risky_upgrade,1,1,CCC,B,CCC→B,1,0.028717,0.050528,0.020344,0.02857,0.021427,512.14,0.73187,0.013828,0.012134,4.2513,0.20858,1.2775,-3.6251,0.98787,0.27368,6.4721
2283,risky_upgrade,1,1,CCC,B,CCC→B,1,0.26342,0.51941,-0.04241,-0.4928,-0.78639,30.87,-0.028051,0.0,0.9867157000000019,2.0689,0.282825,1.0452,197.3,0.0475312,-0.044827,0.0
2284,risky_upgrade,1,1,B,BB,B→BB,1,0.16557,0.006944,0.000608,0.18428,0.001036,98.0,0.24264,0.0,0.014331,2.7722,-0.001973,1.0452,-2.6326,0.98506,-0.000854,29.821
2285,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.11587,-0.16276,-0.039774,0.26313,-0.039936,-200.0,-2.2021499999999996,-0.11746,0.01503,3.237,-0.20654,1.0452,-29.393,1.007,0.33854,19.24
2286,risky_upgrade,1,1,CCC,B,CCC→B,1,0.34322,0.30129,0.22442,0.13627,0.3502,2996.0,0.09772,-0.008533,0.012721,3.941,0.64211,1.0452,20.226,0.91937,0.38315,24.463
2287,risky_upgrade,1,2,B,BB,B→BB,1,0.39256,0.42002,1.1629,0.011402,2.0464,702.64,0.012379,0.8147872000000004,-0.026376,3.2528,53.541990000000055,0.74012,24.438,1.0264,2.7113,1.1767
2288,risky_upgrade,1,1,A,AA,A→AA,0,0.66637,0.40687,0.37817,0.094126,2.0326,785.65,0.040876,0.0,0.14476,3.0715,2.7124,1.0452,65.843,0.88217,0.61371,12.178
2289,risky_upgrade,1,1,B,BB,B→BB,1,0.072921,0.069558,0.043024,0.21825,0.077069,328.0,0.24702,0.0,0.017643,3.653,0.22644,1.0452,-15.904,0.98683,0.50101,13.373
2290,risky_upgrade,1,1,B,BB,B→BB,1,-0.004944,0.30559,0.00024,0.42846,0.00038,-34.42,0.27375,0.00024,0.01724,3.8428,0.000854,0.89122,-75.571,0.98276,0.000785,72.619
2291,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.039657,0.18803,-0.24945,0.54238,-0.38923,-162.0,-0.11393,0.0,0.18015,3.6112,-0.74926,1.0452,-77.255,0.74941,-1.0919,69.575
2292,risky_upgrade,1,1,CCC,B,CCC→B,1,0.083558,0.087732,0.071652,1.1068,0.007339,1241.0,0.4552,0.0,0.080961,4.1718,0.01349,0.45087,-171.77,0.88167,0.065026,210.89
2293,risky_upgrade,1,1,B,BB,B→BB,1,-0.049739,0.006466,0.006466,0.50197,0.009579,-229.0,0.41892,0.0,0.017423,3.6631,0.12061,1.0452,-21.646,0.98471,0.07839,11.069
2294,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.15858,0.36156,0.008757,0.22929,0.018246,-1582.0,0.67174,0.0,0.099529,3.999,0.076834,1.0452,-38.946,0.88759,0.0219,16.04
2295,risky_upgrade,1,1,BBB,A,BBB→A,0,0.033519,0.54355,0.14539,0.1828,0.34792,4982.0,0.0611,0.11057,0.051718,5.1721,1.0491,1.1451,-12.782,0.94828,0.20342,17.92
2296,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.5735,-0.19216,-0.059031,1.7259,-0.05736,-8876.0,-2.2021499999999996,-0.050954,-0.033867,4.1897,-0.3373,0.6929,-425.5,1.0339,0.26517,89.885
2297,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.036187,0.38948,0.10584,0.33927,0.23369,-934.47,0.12393,0.0807,0.078973,4.412,0.5038,1.1097,-47.223,0.92103,0.2072,38.03
2298,risky_upgrade,1,1,CCC,B,CCC→B,1,0.007627,0.19218,0.026783,0.18283,0.033921,56.0,0.23771,0.021599,0.01792,3.8658,0.09119,1.1508,-19.869,0.98208,0.11239,20.719
2299,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.04419,0.48037,0.19461,0.17848,0.42643,-7038.7,0.076665,0.19461,0.06928,5.2022,1.1614,1.0774,-32.345,0.93072,0.40513,23.004
2300,risky_upgrade,1,2,B,BB,B→BB,1,0.44818,0.44818,0.29827,0.14155,0.54053,510.07,0.060758,0.19922,0.084528,3.0562,53.541990000000055,1.0784,49.559,0.91547,0.44452,0.3302
2301,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.085002,0.34455,-0.12273,0.16666,-0.18848,-730.0,-0.55857,-0.11865,-0.029356,3.9339,-0.30518,1.0452,-43.699,1.0294,-0.34437,35.539
2302,risky_upgrade,1,1,CCC,B,CCC→B,1,0.26468,0.085157,0.1324,0.21053,0.1826,2299.0,0.1778,0.0,0.074999,3.9388,0.282825,1.0452,37.809,0.93881,0.88424,0.0
2303,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.1133,0.19792,0.12663,0.35779,0.18176,-1343.0,0.16327,0.0,0.076499,4.0738,0.55224,1.0452,-72.484,0.92259,0.63981,48.51
2304,risky_upgrade,1,1,B,BB,B→BB,1,0.040778,0.20998,0.067648,0.33249,0.12555,281.0,0.18385,0.0,0.040372,3.8383,1.2645,1.0452,-0.6885,0.95488,0.21441,7.4362
2305,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.54035,0.34305,0.10256,-0.20521,0.65404,2002.0,0.12661,0.0,0.07866,3.5688,0.282825,1.0452,195.71,0.90729,0.12838,0.0
2306,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.25542,0.17518,-0.23884,4.20196500000005,-0.34752,-23645.0,-0.16078,-0.20909,-0.6627794,4.9665,-4.1059,0.69492,-937.44,1.6584000000000014,-1.1936,143.91
2307,risky_upgrade,1,3,B,BB,B→BB,1,0.035068,-0.14303,-0.026677,1.2415,-0.11008,446.0,-0.97855,-0.11637,-0.10017,4.1044,-0.11711,1.0452,-70.431,0.97442,0.19288,83.215
2308,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.032645,0.075112,0.007222,0.96385,0.008642,-452.0,0.69909,0.0,0.035031,4.1413,0.007425,1.0452,-304.7,0.9653,0.038337,291.03
2309,risky_upgrade,1,1,B,BB,B→BB,1,0.026796,0.1004,0.080096,0.29685,0.054874,370.09,0.3312,0.0,0.042514,4.1402,0.039105,1.1255,-61.716,0.98567,0.1941,64.287
2310,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.071896,0.24694,0.024111,0.33404,0.033234,-1891.0,0.52979,0.024111,0.017686,4.42,0.17475,2.7253499999999997,-37.345,0.98231,0.09764,24.36
2311,risky_upgrade,1,3,CCC,B,CCC→B,1,0.48386,-0.51888,-0.1373,-0.4134,-1.7937,250.7,-0.025306,-0.37964,-0.15135,2.7144,0.282825,1.0452,175.7,1.1198,-0.15078,0.0
2312,risky_upgrade,1,1,B,BB,B→BB,1,0.03453,0.074672,0.026166,0.46237,0.035041,5974.0,0.44822,0.026854,0.015915,5.2381,0.091136,1.7466,-67.885,0.98409,0.35963,70.293
2313,risky_upgrade,1,1,B,BB,B→BB,1,-0.28077,0.000383,-0.12072,0.59516,-0.12487,-8611.1,7.4916,-0.12072,-0.064195,4.4867,-0.3246,0.99876,-146.66,1.0642,-2.9482139999999997,81.45
2314,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.12931,0.071814,0.099955,0.62569,0.036169,-769.0,0.53628,0.0,0.019537,3.7743,0.34068,1.3126,-51.683,0.80005,0.26853,20.318
2315,risky_upgrade,1,3,B,BB,B→BB,1,0.26986,0.51287,-0.15983,0.27046,-0.37535,7131.7,-0.12489,-0.15983,-0.12224,4.4221,-0.34273,1.1284,-47.554,1.1222,-0.31164,99.293
2316,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.31911,0.51035,0.21317,0.17277,0.47831,12979.0,0.057398,0.14628,0.09428,4.6093,0.33906,1.4141,-17.204,0.90572,0.28662,65.878
2317,risky_upgrade,1,1,B,BB,B→BB,1,0.084962,0.41379,0.0033,0.37175,0.006087,2055.4,0.28393,0.008618,0.031546,4.3837,0.025374,0.91313,-74.652,0.96845,0.020826,94.922
2318,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.37569,-1.1013,-0.051229,1.4789,-0.093181,-1554.7,-0.3655,-0.053234,-0.32359,3.6168,-0.40447,0.94897,-419.76,1.3236,0.048338,99.746
2319,risky_upgrade,1,1,B,BB,B→BB,1,0.019355,0.27707,0.016878,0.42871,0.03633,668.94,0.378,0.016878,0.037083,4.5386,0.056166,1.0744,-91.507,0.96292,0.060916,95.9
2320,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.27777,0.22493,0.2261,0.34555,0.14131,7306.0,0.17534,-0.002031,0.064467,4.42,0.20285,1.6276,-13.051,0.91419,0.30288,63.479
2321,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.097511,0.041122,0.096136,0.23668,0.10347,-1049.8,0.18268,0.0,0.039584,4.0321,0.68793,1.0452,-22.97,0.97798,1.9071,13.409
2322,risky_upgrade,1,3,CCC,B,CCC→B,1,0.080968,0.3771,-0.090132,0.072038,-0.12764,49.83,-0.47609,0.0,-0.008317,2.7892,-0.15373,1.0506,-22.027,1.0085,-0.17708,23.332
2323,risky_upgrade,1,1,B,BB,B→BB,1,0.32198,0.088981,0.079759,0.23396,-0.003991,2873.0,1.3852,0.0,0.000183,3.9505,-0.022524,1.0301,-8.5706,0.99287,-0.076107,39.956
2324,risky_upgrade,1,1,BBB,A,BBB→A,0,0.3851,0.574,0.49625,0.075654,1.0439,1902.0,0.029764,0.0,0.18847,3.6936,0.53912,1.0175,-2.0877,0.8098,0.29156,52.277
2325,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.6585,-1.5009,-0.76,1.6491,-0.4621,-229.87,-0.20539,-0.74089,-0.29297,2.5429,-1.262,1.0452,-255.38,1.1982,0.55979,120.72
2326,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.011046,0.18934,0.014275,1.0209,0.017677,-517.0,0.89596,0.011514,0.033841,4.6703,0.022214,1.2334,-251.79,0.96616,0.06081,247.92
2327,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.27738,-0.49752,-0.11342,0.41543,-0.17331,-3189.0,-1.7084,-0.94625,-0.038082,4.0606,-1.6558,1.0452,-49.219,1.031,2.1378,9.65
2328,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.10542,0.40185,0.043706,0.48223,0.099039,-4185.4,0.14023,0.013837,0.037983,4.5988,0.062485,0.87035,-122.22,0.96202,0.034433,75.293
2329,risky_upgrade,1,0,CCC,B,CCC→B,1,-1.00064,-0.61242,-0.24513,1.0625,-0.1543,-40775.49,-0.63331,-0.24513,-0.10313,5.021,-1.6218,0.92724,-353.25,1.1031,0.40027,34.05
2330,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.12723,-0.011502,0.036351,0.66388,0.036981,-1792.0,0.51373,-0.038694,0.1056,4.1488,0.52109,1.0452,-41.596,1.0623,-0.067513,12.151
2331,risky_upgrade,1,0,CCC,B,CCC→B,1,-1.00064,-1.3727,-1.034518,0.037806,-0.68963,-138.98,-0.14684,0.0,-0.009713,2.1167,0.282825,1.0452,-7.8927,1.0073,1.3859,0.0
2332,risky_upgrade,1,1,BBB,A,BBB→A,0,0.25592,0.35722,0.21886,0.20505,0.43864,1243.0,0.075639,0.001042,0.091738,3.6864,0.75551,1.208,8.9011,0.91452,0.30556,28.597
2333,risky_upgrade,1,1,B,BB,B→BB,1,-0.10743,0.22699,0.072549,0.28002,0.16669,-3151.0,0.15117,0.051957,0.032083,4.4673,0.72433,1.0227,-25.193,0.96792,0.2289,9.8778
2334,risky_upgrade,1,1,B,BB,B→BB,1,-0.21231,0.19389,0.010335,0.78453,0.018968,-7064.0,0.36717,0.003625,0.037075,4.5221,0.017173,0.83583,-166.44,0.96293,0.018698,80.123
2335,risky_upgrade,1,1,CCC,B,CCC→B,1,0.30547,0.12017,-0.046645,0.44236,-0.080984,1027.0,1.2636,0.0,-0.018826,3.5266,-0.10544,1.147,6.3828,1.0043,-0.085615,66.979
2336,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.56199,0.29079,-0.37449,1.0279,-0.53836,-40775.49,-0.10623,-0.37449,-0.38944,5.0371,-6.3784,0.56186,-263.48,1.3894,-1.2879,22.853
2337,risky_upgrade,1,1,B,BB,B→BB,1,0.13287,0.084299,0.076314,0.24169,0.12655,1365.0,0.17879,0.0,0.028691,4.0117,0.50187,1.0452,0.96317,0.96295,0.23889,17.271
2338,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.36401,0.057459,0.039421,0.27948,0.047943,-2093.3,0.19907,0.039421,0.042314,3.7597,0.2476,1.1294,-63.048,0.95769,0.68608,18.846
2339,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.005038,-0.36106,-0.47916,2.6335,-2.09503,-102.0,-0.42224,-0.12635,-0.37768,4.3063,-10.095080000000001,1.0452,-25.824,1.3875,-2.9482139999999997,15.08
2340,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.66793,-0.48448,-0.18039,0.56046,-0.14132,-33512.0,-0.36032,-0.18039,-0.07097,4.7005,-0.90724,1.067,-137.96,1.071,0.37233,31.344
2341,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.23907,0.28632,0.15668,0.43165,0.31939,-16672.0,0.15584,0.13025,0.076888,4.8435,3.3452,1.6721,-78.094,0.92311,0.45493,10.53
2342,risky_upgrade,1,1,B,BB,B→BB,1,0.017081,0.17384,0.016105,0.48986,0.022519,223.19,0.1928,0.015598,0.051038,4.1162,0.032534,0.98727,-121.37,0.94896,0.089726,113.3
2343,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.55275,0.14418,-0.44552,0.85216,-0.59663,-18181.0,-0.086556,-0.37842,-0.35135,4.5171,-5.2402,2.085,-177.12,1.3513,-2.6246,19.492
2344,risky_upgrade,1,1,B,BB,B→BB,1,0.084571,0.21856,0.008135,0.30856,0.01041,1162.0,0.29118,0.008135,0.016455,4.138,0.015037,1.2337,-70.164,0.98354,0.037219,82.679
2345,risky_upgrade,1,1,B,BB,B→BB,1,-0.035839,0.26066,0.085286,0.28667,0.1181,-985.0,0.19191,0.07095,0.044179,4.4391,0.15056,1.3576,-79.581,0.95582,0.27219,73.129
2346,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.29308,0.39225,-0.21209,0.5,-0.34899,-26909.0,-0.11944,-0.21209,-0.076343,4.9629,-0.75803,1.3453,-170.83,1.0763,-0.54071,78.095
2347,risky_upgrade,1,3,CCC,B,CCC→B,1,0.26481,0.70348,-0.38986,0.23021,-1.7156,4991.8,-0.026442,-0.38986,-0.36832,4.2753,-1.8636,0.9369,12.308,1.3683,-0.55418,63.029
2348,risky_upgrade,1,3,CCC,B,CCC→B,1,0.14399,0.061743,-0.18611,0.50628,-0.48835,2950.0,-2.2021499999999996,-0.18616,-0.030382,4.3115,-0.86682,1.3508,-17.373,1.0304,-2.9482139999999997,51.085
2349,risky_upgrade,1,1,B,BB,B→BB,1,-0.08724,0.43773,0.30105,0.03293,0.74214,-293.09,0.028721,0.30105,0.022235,3.5263,2.9329,1.1768,-5.7555,0.97776,0.68775,2.9507
2350,risky_upgrade,1,1,B,BB,B→BB,1,0.11143,0.21716,0.11926,0.2432,0.22635,313.0,0.15777,0.0,0.017185,3.4486,0.69755,1.0452,-5.2866,0.95162,0.27527,17.11
2351,risky_upgrade,1,0,CCC,B,CCC→B,1,-1.00064,-1.86106,-1.034518,4.20196500000005,-0.13953,-4171.5,7.4916,-1.880592,0.64744,1.94594,-10.095080000000001,1.0452,-2978.4999999999995,0.74095,0.13983,32.497
2352,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.34091,0.24931,0.2185,0.6013,0.22665,2985.0,0.22528,0.0,0.07918,3.9423,0.19623,1.0753,-93.842,0.83631,0.48903,204.93
2353,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.18052,0.11481,-0.057133,0.92452,-0.085398,-31287.0,0.60378,-0.057133,0.015555,5.2388,-0.46091,2.0856,-127.23,0.98444,-0.49765,50.064
2354,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.20862,-0.1553,-0.014404,0.426,-0.022886,-6440.0,0.21699,-0.035472,0.020401,4.4895,-0.12388,1.331,-92.767,0.9796,0.22841,52.614
2355,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.022791,0.26351,0.028389,0.13725,0.098191,-105.0,0.44172,0.0,0.10297,3.6634,0.3135,1.0452,-12.081,0.89213,0.057064,9.5824
2356,risky_upgrade,1,1,B,BB,B→BB,1,-0.089391,0.30552,-0.02951,0.20462,-0.076218,-559.91,0.34632,0.0,-0.026126,3.7968,-0.36576,1.0452,-25.65,1.0107,-0.077748,11.896
2357,risky_upgrade,1,1,B,BB,B→BB,1,-0.077954,-0.32109,-0.004049,0.23935,-0.012751,-698.0,0.30305,-0.31215,0.007981,3.952,-0.84368,1.0452,-51.608,0.99694,-0.013927,2.5591
2358,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.23046,0.1243,0.10274,0.27835,0.12881,-3158.7,0.23898,0.10274,0.025871,4.1369,0.42964,1.2566,-63.07,0.97413,0.82651,32.035
2359,risky_upgrade,1,1,B,BB,B→BB,1,0.06648,0.38653,0.044381,0.10868,0.11875,4046.0,0.30218,0.034752,0.009679,4.7843,0.75187,0.9844,1.2611,0.99032,0.089908,3.9167
2360,risky_upgrade,1,0,CCC,B,CCC→B,1,-1.00064,-1.599,-0.54942,1.9423,-0.22069,-32149.0,-0.24883,-0.54942,-0.21624,4.2244,-1.6628,1.5479,-538.93,1.2162,0.3436,78.608
2361,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.13975,0.17309,0.14865,0.22752,0.19243,-2674.8,0.097338,0.10956,0.068154,4.282,0.48061,1.1551,-42.891,0.93185,0.63293,25.827
2362,risky_upgrade,1,1,B,BB,B→BB,1,0.20717,0.25069,0.17373,0.18997,0.44953,14863.0,0.088143,0.0,0.20314,4.8558,0.47132,1.0452,-18.217,0.81025,0.26438,60.243
2363,risky_upgrade,1,1,B,BB,B→BB,1,-0.007875,0.028654,-0.003554,0.2809,-0.005936,-12.23,0.2315,-0.13157,0.009228,3.1912,-0.015388,1.0452,-39.895,0.98398,-0.011884,36.878
2364,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.070175,-0.44737,-0.46053,0.25434,-0.58333,-16.0,-0.061856,0.013158,0.069364,2.3579,-1.9811,1.0452,-39.74,0.94412,-2.1875,31.404
2365,risky_upgrade,1,1,BBB,A,BBB→A,0,0.37312,0.33946,0.20117,0.42928,0.44539,4455.0,0.089889,0.0,0.19029,4.077,0.45827,1.0452,4.6874,0.81027,0.45708,144.45
2366,risky_upgrade,1,1,B,BB,B→BB,1,-0.1992,0.16746,0.10031,0.16416,0.09821,-1293.0,0.26708,0.0,0.015825,3.8123,1.6237,1.5706,-17.57,0.98569,0.24842,2.2903
2367,risky_upgrade,1,1,B,BB,B→BB,1,0.021301,0.35627,0.31554,0.1121,0.49963,91.0,0.046027,0.0,0.091527,3.6306,0.75073,1.0452,-24.871,0.90656,0.65289,26.834
2368,risky_upgrade,1,1,BBB,A,BBB→A,0,0.46203,0.38445,0.18187,-0.10201,0.59877,2519.0,0.062824,0.0,0.082235,3.7366,7.2208,1.0452,94.084,0.90412,0.20894,3.9964
2369,risky_upgrade,1,1,B,BB,B→BB,1,0.019664,0.31335,0.006231,0.14215,0.009092,372.0,0.38175,0.006231,0.000683,4.2769,0.033661,1.0044,-20.775,0.99932,0.019885,23.004
