antecedents_str,consequents_str,support,confidence,lift,lift_vs_baseline,conf_safe,conf_diff
Attr55=LOW & Attr58=HIGH,Attr12=LOW,0.22324159021406728,0.9419354838709677,1.8499273467015405,11.294584196507842,0.8358061325420376,0.10612935132893009
Attr55=LOW & Attr58=HIGH & working_capital_to_assets=LOW,Attr12=LOW,0.21636085626911314,0.9401993355481727,1.8465176139594746,11.273766344600567,0.8395694515633009,0.10062988398487183
Attr24=LOW & cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr12=LOW,0.20642201834862386,0.9278350515463918,1.8222346057397607,11.125508370377377,0.7822014051522248,0.14563364639416698
Attr24=LOW & Attr55=LOW & cash_to_current_liabilities=LOW,Attr12=LOW,0.20412844036697247,0.9270833333333333,1.8207582582582582,11.116494648318042,0.7807807807807807,0.14630255255255253
Attr58=HIGH & retained_earnings_to_assets=LOW,Attr12=LOW & Attr24=LOW,0.2492354740061162,0.9261363636363636,2.0994564361115486,11.105139699749792,0.8189690721649485,0.10716729147141513
Attr24=LOW & Attr55=LOW,Attr12=LOW,0.2599388379204893,0.9239130434782608,1.8145319232275754,11.0784802552852,0.7777272727272727,0.14618577075098804
Attr24=LOW & Attr55=LOW & working_capital_to_assets=LOW,Attr12=LOW,0.2515290519877676,0.9215686274509806,1.8099275746334575,11.050368771361757,0.7804419370004703,0.1411266904505103
Attr24=LOW & cash_to_current_liabilities=LOW,Attr12=LOW,0.2415902140672783,0.9212827988338191,1.809366217529483,11.046941450236712,0.7717842323651453,0.14949856646867388
Attr24=LOW & working_capital_to_assets=LOW,Attr12=LOW,0.26605504587155965,0.9206349206349207,1.8080938080938085,11.039172855686617,0.7817546922741162,0.1388802283608045
Attr58=HIGH,Attr12=LOW,0.38837920489296635,0.9202898550724636,1.8074161117639378,11.035035234676238,0.8029418126757517,0.11734804239671193
Attr45=LOW & Attr55=LOW,Attr24=LOW,0.24311926605504589,0.9137931034482759,1.8734190898281269,10.957133818411895,0.8102710413694721,0.10352206207880377
Attr41=LOW & Attr45=LOW & Attr56=LOW,Attr24=LOW,0.2652905198776758,0.9131578947368421,1.8721168124071934,10.949517141477546,0.8066581306017927,0.10649976413504936
Attr55=LOW & Attr58=HIGH,Attr12=LOW & working_capital_to_assets=LOW,0.21636085626911314,0.9129032258064516,3.1340614681229364,10.946463450725066,0.8100890207715135,0.1028142050349381
Attr24=LOW & Attr30=HIGH & cash_to_current_liabilities=LOW,Attr12=LOW,0.20489296636085627,0.9115646258503401,1.790280075994362,10.930412531985272,0.7934352009054895,0.11812942494485068
Attr24=LOW & Attr30=HIGH,Attr12=LOW,0.2561162079510703,0.907859078590786,1.783002514709832,10.885979960717039,0.7909995672868888,0.11685951130389716
Attr45=LOW & working_capital_to_assets=LOW,Attr12=LOW & Attr24=LOW,0.24464831804281345,0.9065155807365438,2.054978127562217,10.869870312134521,0.7756618671620994,0.13085371357444442
Attr45=LOW & Attr56=LOW & Attr58=HIGH,Attr24=LOW,0.29204892966360857,0.90521327014218,1.8558290867491716,10.854254532805774,0.7724458204334365,0.13276744970874355
Attr12=LOW & Attr45=LOW & Attr56=LOW,Attr24=LOW,0.3065749235474006,0.9051918735891649,1.8557852204617988,10.853997970468242,0.7827763496143958,0.12241552397476907
Attr45=LOW & Attr55=LOW,Attr12=LOW & Attr24=LOW,0.2408256880733945,0.9051724137931034,2.0519333054443316,10.853764631445745,0.7698525915359011,0.1353198222572023
