feature,U_stat,p_value,sig_05,sig_01,sig_001,risky_median,safe_median,median_diff,n_risky,n_safe,effect_r
Attr46,4587624.5,2.4477522556207426e-57,True,True,True,0.4795,0.7473,-0.2677,1113,11597,0.2891515225186425
Attr26,4607339.5,3.597199619496457e-56,True,True,True,0.0123,0.0951,-0.0827,1113,11597,0.2860967001953366
Attr16,4629006.0,6.673292997573934e-55,True,True,True,0.0131,0.1039,-0.0908,1113,11597,0.2827394946225288
Attr35,4771131.5,5.973751408041517e-47,True,True,True,-0.0158,0.0297,-0.0455,1113,11597,0.26071727042212256
Attr13,4791458.5,7.26841747233762e-46,True,True,True,0.0047,0.0333,-0.0286,1113,11597,0.2575676192242611
Attr39,4793212.0,9.003921019780162e-46,True,True,True,-0.009,0.0167,-0.0257,1113,11597,0.2572959159047624
Attr24,4825318.0,4.360465594092877e-44,True,True,True,0.002,0.071,-0.0689,1113,11597,0.252321118769989
Attr12,4882894.5,3.811104278129678e-41,True,True,True,-0.0234,0.0488,-0.0722,1113,11597,0.2433996895284053
Attr18,4883511.5,4.090917620125776e-41,True,True,True,-0.0105,0.0225,-0.033,1113,11597,0.24330408590814256
Attr14,4883663.0,4.163116393044136e-41,True,True,True,-0.0105,0.0225,-0.033,1113,11597,0.24328061111321586
ebit_to_assets,4883915.0,4.2860235468728776e-41,True,True,True,-0.0105,0.0225,-0.033,1113,11597,0.2432415639295753
net_profit_to_assets,4886413.0,5.717474497622692e-41,True,True,True,-0.0097,0.0177,-0.0274,1113,11597,0.24285450097428152
Attr23,4923427.0,3.878035465134585e-39,True,True,True,-0.0061,0.0096,-0.0157,1113,11597,0.23711921345336628
Attr19,4925209.5,4.7392989934223494e-39,True,True,True,-0.007,0.0122,-0.0192,1113,11597,0.23684301660876605
Attr22,4990541.5,6.150722550933282e-36,True,True,True,0.0053,0.0352,-0.0299,1113,11597,0.22671987930081683
Attr25,5009960.0,5.022667939503893e-35,True,True,True,0.1215,0.2281,-0.1065,1113,11597,0.22371099939794514
Attr11,5019031.0,1.3131816524131778e-34,True,True,True,0.0053,0.0383,-0.033,1113,11597,0.22230545573602745
Attr31,5056868.5,6.784531757600762e-33,True,True,True,0.001,0.0176,-0.0166,1113,11597,0.21644256759714398
Attr42,5088328.5,1.6332719194136096e-31,True,True,True,0.0034,0.0186,-0.0153,1113,11597,0.21156786760773483
Attr55,5097481.5,4.1684884198304334e-31,True,True,True,2.778,303.2,-300.422,1113,11597,0.2101496181162198
Attr45,5131738.0,1.2145201134106322e-29,True,True,True,0.0053,0.1032,-0.0979,1113,11597,0.20484160285279962
Attr54,5210930.5,2.186750537665312e-26,True,True,True,0.8973,1.1383,-0.241,1113,11597,0.19257079297005042
working_capital_to_assets,5257547.5,1.4533727107060015e-24,True,True,True,0.005,0.0956,-0.0906,1113,11597,0.18534752884397632
Attr48,5266031.0,3.0666326770060813e-24,True,True,True,-0.0284,0.0,-0.0284,1113,11597,0.18403301780264913
retained_earnings_to_assets,5314383.5,1.0137853038001354e-23,True,True,True,0.0,0.0,0.0,1113,11597,0.17654083944162213
Attr28,5301407.5,6.514930650655201e-23,True,True,True,0.022,0.2484,-0.2264,1113,11597,0.17855145950082674
Attr38,5303716.0,7.935207437116653e-23,True,True,True,0.3682,0.4696,-0.1014,1113,11597,0.178193759407834
current_assets_to_short_liabilities,5310365.5,1.3941183897231657e-22,True,True,True,1.0126,1.1956,-0.183,1113,11597,0.17716342509189065
Attr49,5319850.5,3.095923342860448e-22,True,True,True,-0.0177,0.0,-0.0177,1113,11597,0.17569373248542064
Attr40,5320882.5,3.3770154785644726e-22,True,True,True,0.0581,0.1045,-0.0465,1113,11597,0.1755338249714642
Attr62,7567306.0,1.6726604828862995e-21,True,True,True,119.01,91.098,27.912,1113,11597,-0.1725475676432413
Attr63,5352509.0,4.6000827381079835e-21,True,True,True,3.0543,3.9797,-0.9254,1113,11597,0.1706333259500068
Attr50,5366367.5,1.4121614299456753e-20,True,True,True,0.8244,0.9828,-0.1584,1113,11597,0.16848596327348964
Attr53,5371091.0,2.0608593575063847e-20,True,True,True,0.6774,0.9324,-0.255,1113,11597,0.16775406100394186
equity_to_assets,5372462.5,2.3018984419128363e-20,True,True,True,0.2666,0.3523,-0.0857,1113,11597,0.1675415482564696
book_value_equity_to_liabilities,5373305.5,2.4624366171406903e-20,True,True,True,0.3852,0.5624,-0.1772,1113,11597,0.16741092613024355
total_liabilities_to_assets,7508922.0,1.8083969622869354e-19,True,True,True,0.7113,0.6249,0.0864,1113,11597,-0.16350101696995245
Attr17,5400715.0,2.1430659160980175e-19,True,True,True,1.4058,1.5985,-0.1927,1113,11597,0.16316384763819936
Attr30,7481752.0,1.4703199073748368e-18,True,True,True,0.3679,0.2818,0.0861,1113,11597,-0.15929104879728095
Attr41,5433314.0,2.617052972405636e-18,True,True,True,0.061,0.1341,-0.0731,1113,11597,0.1581126605767006
Attr32,7447280.5,1.94388268289438e-17,True,True,True,117.52,93.803,23.717,1113,11597,-0.15394971946845315
cash_to_current_liabilities,5521303.5,1.5316521034924538e-15,True,True,True,-45.599,-25.869,-19.73,1113,11597,0.14447876309678565
Attr51,7368738.0,5.0596695322147275e-15,True,True,True,0.56,0.477,0.083,1113,11597,-0.14177962652763387
Attr15,5544807.5,7.642635610606672e-15,True,True,True,289.81,1468.7,-1178.89,1113,11597,0.1408368384765989
Attr56,5615890.5,7.754041335991908e-13,True,True,True,0.0082,0.022,-0.0138,1113,11597,0.12982258865628182
Attr57,5647645.0,5.429016981814866e-12,True,True,True,0.0199,0.0686,-0.0487,1113,11597,0.12490225614472128
Attr52,7210338.5,9.754606862876628e-11,True,True,True,0.3056,0.2568,0.0489,1113,11597,-0.1172357599995848
Attr33,5728252.0,5.48807382967105e-10,True,True,True,3.3013,3.8872,-0.5859,1113,11597,0.11241227070141835
Attr29,5874615.0,7.317165488633685e-07,True,True,True,3.817,3.9044,-0.0874,1113,11597,0.08973344951419959
Attr58,6974523.5,8.430143512955858e-06,True,True,True,0.9891,0.9814,0.0077,1113,11597,-0.08069642821310863
Attr59,5971374.0,1.5463555902354315e-05,True,True,True,0.0,0.0029,-0.0029,1113,11597,0.0747407255385083
sales_to_assets,5961435.5,2.550966297923643e-05,True,True,True,1.1694,1.217,-0.0476,1113,11597,0.07628068758061712
Attr21,5969029.5,3.2618233037309364e-05,True,True,True,1.0452,1.0452,0.0,1113,11597,0.07510400380059257
Attr64,5977532.5,4.64892871095388e-05,True,True,True,4.2825,4.8047,-0.5222,1113,11597,0.07378647125100746
Attr47,6178394.5,0.01852756651383502,True,False,False,34.081,36.831,-2.75,1113,11597,0.042663076804957956
Attr36,6187119.0,0.022599770821527053,True,False,False,1.7086,1.8098,-0.1012,1113,11597,0.04131122302054602
Attr27,6215967.5,0.04196187711448508,True,False,False,1.0841,0.5833,0.5008,1113,11597,0.03684117271398302
Attr43,6672507.5,0.06134004192644297,False,False,False,102.42,97.654,4.766,1113,11597,-0.03389930831478005
Attr60,6240979.5,0.06881645180799018,False,False,False,9.7917,9.7917,0.0,1113,11597,0.032965584788518854
Attr34,6328700.5,0.2849407930838841,False,False,False,1.8244,1.8458,-0.0214,1113,11597,0.019373291153078065
Attr37,6337811.5,0.29900818418738906,False,False,False,3.0963,3.0963,0.0,1113,11597,0.017961549525503107
Attr20,6424232.0,0.8008178356419511,False,False,False,35.442,36.177,-0.735,1113,11597,0.004570767248492924
Attr44,6439283.5,0.9016713022608486,False,False,False,48.511,50.339,-1.828,1113,11597,0.0022385502462490825
Attr61,6463684.5,0.9321619851092917,False,False,False,7.3777,7.213,0.1647,1113,11597,-0.0015423637538010126
