,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr49,Attr38,Attr25,Attr13,Attr35,working_capital_to_assets,Attr30,Attr24,Attr52,retained_earnings_to_assets,Attr56,Attr55,Attr26,Attr63,Attr41,Attr29,Attr21,Attr43,Attr57,Attr20,Attr58,cash_to_current_liabilities,Attr45,Attr46
2237,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.018772,0.12991,0.051184,0.027926,0.003018,0.081671,0.43801,0.038522,0.43774,0.0,0.001575,659.0,0.053518,2.2881,-2.2021499999999996,3.9068,1.0452,169.48,0.24192,90.394,0.97971,-76.581,0.062327,0.59922
2238,risky_upgrade,1,0,B,BB,B→BB,1,0.025044,0.41609,0.064191,0.054673,0.043652,0.020096,0.77163,0.041231,0.39155,0.0,0.041392,576.55,0.059333,2.6474,0.46557,4.4577,1.0452,131.77,0.18977,38.788,0.96152,-41.614,0.29166,0.76911
2239,risky_upgrade,1,0,CCC,B,CCC→B,1,0.061984,0.52574,0.14218,0.054016,0.14715,-0.19905,0.45638,0.089522,0.26044,0.0,0.23902,-7371.0,0.099666,4.0662,0.24679,4.5686,1.0452,43.779,0.31664,10.247,0.78417,-57.769,1.6291,0.13808
2240,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.091895,0.046519,-0.45414,-0.14998,-0.10496,-0.34665,0.794,-0.17997,0.72416,-0.43095,0.026425,-6341.0,-0.18875,1.2585,-0.28823,4.2623,1.0452,184.2,-2.9482139999999997,124.74,0.96751,-207.04,-0.43887,0.4314
2241,risky_upgrade,1,0,B,BB,B→BB,1,0.008599,0.42922,0.11239,0.020257,0.019335,0.07811,0.71237,0.010984,0.56062,-0.017461,0.019492,12253.0,0.023412,1.8192,0.97961,5.1955,1.0452,198.83,0.043451,117.33,0.89153,-90.07,0.02915,0.73705
2242,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.03645,0.32441,-0.16124,-0.044496,-0.16597,-0.14715,0.79113,-0.073233,0.60214,-0.19317,-0.17378,-700.0,-0.055971,1.4149,0.95246,3.6773,1.0452,196.11,-0.30505,53.113,1.0034,-87.455,-0.52663,0.22782
2243,risky_upgrade,1,0,B,BB,B→BB,1,0.0,0.7524,0.069773,-0.012484,-0.038106,0.070537,0.56429,-0.009726,0.39952,0.0,0.21049,463.49,-0.02172,3.1703,-2.2021499999999996,3.8176,1.0452,143.07,-0.017613,15.048,1.0055,15.647,-0.30282,1.1563
2244,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.12576,0.51285,-0.2818,-0.078476,-0.1867,0.26988,0.31058,-0.1598,0.24839,-0.12192,-0.12222,7132.0,-0.2461,3.5874,-0.14462,4.422,1.0452,157.3,-0.31159,111.43,1.0961,-47.528,-0.34266,1.183
2245,risky_upgrade,1,0,CCC,B,CCC→B,1,0.039567,0.18384,0.043494,0.048104,0.097653,0.33607,0.31215,0.11855,0.28058,-0.018694,0.039863,239.46,0.054821,3.712,0.27899,2.8528,1.0452,9.690959000000001,0.24338,0.0,0.9117,-89.361,0.282825,1.4615
2246,risky_upgrade,1,0,B,BB,B→BB,1,-0.053622,0.34903,0.068845,0.13803,0.004103,-0.033724,0.99742,0.017922,0.5657,0.0,0.005144,-193.0,0.13295,1.7768,0.18633,3.7576,1.0452,189.75,0.072559,21.485,0.94109,-41.416,0.28188,0.10739
