,group,is_risky,default,from_grade,to_grade,transition,year_horizon,l1_count,l2_count,total_warnings,any_warning
0,safe_upgrade,0,0,BBB,A,BBB→A,1,4,0,4,1
1,safe_upgrade,0,0,BBB,A,BBB→A,1,4,0,4,1
2,safe_upgrade,0,0,CCC,B,CCC→B,1,39,47,86,1
3,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
7,safe_upgrade,0,0,CCC,B,CCC→B,1,39,48,87,1
8,safe_upgrade,0,0,B,BB,B→BB,1,14,6,20,1
9,safe_upgrade,0,0,B,BB,B→BB,1,13,0,13,1
10,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
11,safe_upgrade,0,0,CCC,B,CCC→B,1,3,0,3,1
12,safe_upgrade,0,0,CCC,B,CCC→B,1,37,32,69,1
13,safe_upgrade,0,0,B,BB,B→BB,1,39,38,77,1
14,safe_upgrade,0,0,B,BB,B→BB,1,39,44,83,1
15,safe_upgrade,0,0,CCC,B,CCC→B,1,27,8,35,1
16,safe_upgrade,0,0,B,BB,B→BB,1,16,16,32,1
17,safe_upgrade,0,0,B,BB,B→BB,1,12,6,18,1
18,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
20,safe_upgrade,0,0,BB,BBB,BB→BBB,1,5,1,6,1
21,safe_upgrade,0,0,B,BB,B→BB,1,15,11,26,1
22,safe_upgrade,0,0,CCC,B,CCC→B,1,39,43,82,1
23,safe_upgrade,0,0,A,AA,A→AA,1,4,0,4,1
24,safe_upgrade,0,0,CCC,B,CCC→B,1,7,1,8,1
25,safe_upgrade,0,0,BB,BBB,BB→BBB,1,4,0,4,1
26,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
27,safe_upgrade,0,0,BB,BBB,BB→BBB,1,12,6,18,1
28,safe_upgrade,0,0,B,BB,B→BB,1,11,8,19,1
29,safe_upgrade,0,0,BB,BBB,BB→BBB,1,15,7,22,1
30,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
31,safe_upgrade,0,0,B,BB,B→BB,1,26,11,37,1
33,safe_upgrade,0,0,B,BB,B→BB,1,12,0,12,1
34,safe_upgrade,0,0,A,AA,A→AA,1,3,0,3,1
35,safe_upgrade,0,0,CCC,B,CCC→B,1,38,37,75,1
36,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
37,safe_upgrade,0,0,BBB,A,BBB→A,1,7,0,7,1
38,safe_upgrade,0,0,BB,BBB,BB→BBB,1,4,2,6,1
39,safe_upgrade,0,0,BB,BBB,BB→BBB,1,4,0,4,1
40,safe_upgrade,0,0,BBB,A,BBB→A,1,6,0,6,1
42,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
43,safe_upgrade,0,0,BB,BBB,BB→BBB,1,11,0,11,1
44,safe_upgrade,0,0,B,BB,B→BB,1,16,16,32,1
46,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
48,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
