factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,trigger_description,cond1_var,cond1_bin,cond1_p33,cond1_p67,cond2_var,cond2_bin,cond2_p33,cond2_p67,cond3_var,cond3_bin,cond3_p33,cond3_p67
L2-01,2,Attr30=HIGH & Attr38=LOW,Attr46=LOW,2,Attr30 >= 0.4179 AND Attr38 <= 0.3427,0.2157,0.8223,9.4234,0.6766,0.1457,"Firm simultaneously satisfies: Attr30=HIGH & Attr38=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.2% (vs 67.7% in safe group). Lift vs baseline = 9.4x.",Attr30,HIGH,0.18902,0.417941,Attr38,LOW,0.342717,0.579132,,,,
L2-02,2,Attr38=LOW & retained_earnings_to_assets=LOW,Attr46=LOW,2,Attr38 <= 0.3427 AND retained_earnings_to_assets <= -0.0013,0.2084,0.8172,9.365,0.6182,0.199,"Firm simultaneously satisfies: Attr38=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.7% (vs 61.8% in safe group). Lift vs baseline = 9.4x.",Attr38,LOW,0.342717,0.579132,retained_earnings_to_assets,LOW,-0.001325,0.0,,,,
L2-03,2,Attr38=LOW & Attr63=LOW,Attr46=LOW,2,Attr38 <= 0.3427 AND Attr63 <= 2.8559,0.2249,0.8066,9.243,0.627,0.1796,"Firm simultaneously satisfies: Attr38=LOW & Attr63=LOW. Among upgrade-overridden firms meeting this condition, confidence=80.7% (vs 62.7% in safe group). Lift vs baseline = 9.2x.",Attr38,LOW,0.342717,0.579132,Attr63,LOW,2.855928,5.570424,,,,
L2-04,2,Attr63=LOW & retained_earnings_to_assets=LOW,Attr12=LOW,2,Attr63 <= 2.8559 AND retained_earnings_to_assets <= -0.0013,0.2029,0.8043,9.2176,0.6501,0.1542,"Firm simultaneously satisfies: Attr63=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=80.4% (vs 65.0% in safe group). Lift vs baseline = 9.2x.",Attr63,LOW,2.855928,5.570424,retained_earnings_to_assets,LOW,-0.001325,0.0,,,,
L2-05,2,Attr25=LOW & Attr38=LOW,Attr46=LOW,2,Attr25 <= 0.0901 AND Attr38 <= 0.3427,0.2431,0.8036,9.2094,0.604,0.1996,"Firm simultaneously satisfies: Attr25=LOW & Attr38=LOW. Among upgrade-overridden firms meeting this condition, confidence=80.4% (vs 60.4% in safe group). Lift vs baseline = 9.2x.",Attr25,LOW,0.090106,0.3526,Attr38,LOW,0.342717,0.579132,,,,
L2-06,2,Attr57=LOW,Attr13=LOW,1,Attr57 <= 0.0041,0.3492,0.8025,9.1967,0.6889,0.1136,"Firm simultaneously satisfies: Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=80.3% (vs 68.9% in safe group). Lift vs baseline = 9.2x.",Attr57,LOW,0.004122,0.160908,,,,,,,,
L2-07,2,Attr24=LOW & Attr38=LOW,Attr46=LOW,2,Attr24 <= -0.0027 AND Attr38 <= 0.3427,0.2075,0.8021,9.1921,0.6377,0.1644,"Firm simultaneously satisfies: Attr24=LOW & Attr38=LOW. Among upgrade-overridden firms meeting this condition, confidence=80.2% (vs 63.8% in safe group). Lift vs baseline = 9.2x.",Attr24,LOW,-0.002681,0.149572,Attr38,LOW,0.342717,0.579132,,,,
L2-08,2,Attr38=LOW & Attr52=HIGH,Attr46=LOW,2,Attr38 <= 0.3427 AND Attr52 >= 0.3546,0.213,0.8007,9.1757,0.617,0.1837,"Firm simultaneously satisfies: Attr38=LOW & Attr52=HIGH. Among upgrade-overridden firms meeting this condition, confidence=80.1% (vs 61.7% in safe group). Lift vs baseline = 9.2x.",Attr38,LOW,0.342717,0.579132,Attr52,HIGH,0.182565,0.354601,,,,
L2-09,2,Attr35=LOW & Attr38=LOW,Attr46=LOW,2,Attr35 <= -0.0008 AND Attr38 <= 0.3427,0.2185,0.7993,9.1602,0.6296,0.1697,"Firm simultaneously satisfies: Attr35=LOW & Attr38=LOW. Among upgrade-overridden firms meeting this condition, confidence=79.9% (vs 63.0% in safe group). Lift vs baseline = 9.2x.",Attr35,LOW,-0.000774,0.063935,Attr38,LOW,0.342717,0.579132,,,,
L2-10,2,Attr30=HIGH & retained_earnings_to_assets=LOW,Attr12=LOW,2,Attr30 >= 0.4179 AND retained_earnings_to_assets <= -0.0013,0.202,0.7921,9.0775,0.6504,0.1417,"Firm simultaneously satisfies: Attr30=HIGH & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=79.2% (vs 65.0% in safe group). Lift vs baseline = 9.1x.",Attr30,HIGH,0.18902,0.417941,retained_earnings_to_assets,LOW,-0.001325,0.0,,,,
L2-11,2,Attr25=LOW & Attr63=LOW,Attr46=LOW,2,Attr25 <= 0.0901 AND Attr63 <= 2.8559,0.2148,0.7912,9.0675,0.6574,0.1338,"Firm simultaneously satisfies: Attr25=LOW & Attr63=LOW. Among upgrade-overridden firms meeting this condition, confidence=79.1% (vs 65.7% in safe group). Lift vs baseline = 9.1x.",Attr25,LOW,0.090106,0.3526,Attr63,LOW,2.855928,5.570424,,,,
L2-12,2,Attr25=LOW & Attr52=HIGH,Attr46=LOW,2,Attr25 <= 0.0901 AND Attr52 >= 0.3546,0.2029,0.79,9.0536,0.6576,0.1325,"Firm simultaneously satisfies: Attr25=LOW & Attr52=HIGH. Among upgrade-overridden firms meeting this condition, confidence=79.0% (vs 65.8% in safe group). Lift vs baseline = 9.1x.",Attr25,LOW,0.090106,0.3526,Attr52,HIGH,0.182565,0.354601,,,,
L2-13,2,Attr12=LOW & Attr38=LOW,Attr46=LOW,2,Attr12 <= -0.0172 AND Attr38 <= 0.3427,0.2093,0.7869,9.0182,0.6392,0.1477,"Firm simultaneously satisfies: Attr12=LOW & Attr38=LOW. Among upgrade-overridden firms meeting this condition, confidence=78.7% (vs 63.9% in safe group). Lift vs baseline = 9.0x.",Attr12,LOW,-0.017249,0.125532,Attr38,LOW,0.342717,0.579132,,,,
L2-14,2,Attr25=LOW & Attr30=HIGH,Attr46=LOW,2,Attr25 <= 0.0901 AND Attr30 >= 0.4179,0.2176,0.7803,8.9424,0.6481,0.1323,"Firm simultaneously satisfies: Attr25=LOW & Attr30=HIGH. Among upgrade-overridden firms meeting this condition, confidence=78.0% (vs 64.8% in safe group). Lift vs baseline = 8.9x.",Attr25,LOW,0.090106,0.3526,Attr30,HIGH,0.18902,0.417941,,,,
L2-15,2,Attr35=LOW & Attr52=HIGH,Attr46=LOW,2,Attr35 <= -0.0008 AND Attr52 >= 0.3546,0.2011,0.7774,8.9087,0.6595,0.1178,"Firm simultaneously satisfies: Attr35=LOW & Attr52=HIGH. Among upgrade-overridden firms meeting this condition, confidence=77.7% (vs 66.0% in safe group). Lift vs baseline = 8.9x.",Attr35,LOW,-0.000774,0.063935,Attr52,HIGH,0.182565,0.354601,,,,
L2-16,2,Attr13=LOW & Attr38=LOW,Attr46=LOW,2,Attr13 <= 0.0099 AND Attr38 <= 0.3427,0.2185,0.776,8.8925,0.5831,0.1929,"Firm simultaneously satisfies: Attr13=LOW & Attr38=LOW. Among upgrade-overridden firms meeting this condition, confidence=77.6% (vs 58.3% in safe group). Lift vs baseline = 8.9x.",Attr13,LOW,0.009896,0.052339,Attr38,LOW,0.342717,0.579132,,,,
L2-17,2,Attr30=HIGH & Attr49=LOW,Attr46=LOW,2,Attr30 >= 0.4179 AND Attr49 <= -0.0220,0.2057,0.7679,8.8002,0.6454,0.1225,"Firm simultaneously satisfies: Attr30=HIGH & Attr49=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.8% (vs 64.5% in safe group). Lift vs baseline = 8.8x.",Attr30,HIGH,0.18902,0.417941,Attr49,LOW,-0.022019,0.016799,,,,
L2-18,2,Attr53=LOW & cash_to_current_liabilities=LOW,Attr38=LOW,2,Attr53 <= 0.5844 AND cash_to_current_liabilities <= -58.4638,0.223,0.7673,8.793,0.6477,0.1196,"Firm simultaneously satisfies: Attr53=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.7% (vs 64.8% in safe group). Lift vs baseline = 8.8x.",Attr53,LOW,0.584406,1.285512,cash_to_current_liabilities,LOW,-58.4638,-1.0345,,,,
L2-19,2,Attr49=LOW & Attr63=LOW,Attr46=LOW,2,Attr49 <= -0.0220 AND Attr63 <= 2.8559,0.2066,0.7661,8.7794,0.6522,0.1139,"Firm simultaneously satisfies: Attr49=LOW & Attr63=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.6% (vs 65.2% in safe group). Lift vs baseline = 8.8x.",Attr49,LOW,-0.022019,0.016799,Attr63,LOW,2.855928,5.570424,,,,
L2-20,2,Attr30=HIGH & Attr35=LOW,Attr46=LOW,2,Attr30 >= 0.4179 AND Attr35 <= -0.0008,0.2212,0.761,8.721,0.6445,0.1165,"Firm simultaneously satisfies: Attr30=HIGH & Attr35=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.1% (vs 64.4% in safe group). Lift vs baseline = 8.7x.",Attr30,HIGH,0.18902,0.417941,Attr35,LOW,-0.000774,0.063935,,,,
L2-21,2,Attr55=LOW & Attr63=LOW,Attr38=LOW,2,Attr55 <= -51.2765 AND Attr63 <= 2.8559,0.2166,0.7596,8.705,0.6585,0.1011,"Firm simultaneously satisfies: Attr55=LOW & Attr63=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.0% (vs 65.8% in safe group). Lift vs baseline = 8.7x.",Attr55,LOW,-51.27648,1150.928,Attr63,LOW,2.855928,5.570424,,,,
L2-22,2,Attr35=LOW & Attr53=LOW,Attr38=LOW,2,Attr35 <= -0.0008 AND Attr53 <= 0.5844,0.2066,0.7584,8.691,0.6483,0.1101,"Firm simultaneously satisfies: Attr35=LOW & Attr53=LOW. Among upgrade-overridden firms meeting this condition, confidence=75.8% (vs 64.8% in safe group). Lift vs baseline = 8.7x.",Attr35,LOW,-0.000774,0.063935,Attr53,LOW,0.584406,1.285512,,,,
L2-23,2,Attr13=LOW & Attr63=LOW,Attr46=LOW,2,Attr13 <= 0.0099 AND Attr63 <= 2.8559,0.2148,0.7581,8.6873,0.6456,0.1125,"Firm simultaneously satisfies: Attr13=LOW & Attr63=LOW. Among upgrade-overridden firms meeting this condition, confidence=75.8% (vs 64.6% in safe group). Lift vs baseline = 8.7x.",Attr13,LOW,0.009896,0.052339,Attr63,LOW,2.855928,5.570424,,,,
L2-24,2,Attr12=LOW & Attr53=LOW,Attr38=LOW,2,Attr12 <= -0.0172 AND Attr53 <= 0.5844,0.2002,0.7578,8.6841,0.6295,0.1283,"Firm simultaneously satisfies: Attr12=LOW & Attr53=LOW. Among upgrade-overridden firms meeting this condition, confidence=75.8% (vs 62.9% in safe group). Lift vs baseline = 8.7x.",Attr12,LOW,-0.017249,0.125532,Attr53,LOW,0.584406,1.285512,,,,
L2-25,2,Attr13=LOW & Attr30=HIGH,Attr46=LOW,2,Attr13 <= 0.0099 AND Attr30 >= 0.4179,0.2148,0.7556,8.6593,0.6464,0.1092,"Firm simultaneously satisfies: Attr13=LOW & Attr30=HIGH. Among upgrade-overridden firms meeting this condition, confidence=75.6% (vs 64.6% in safe group). Lift vs baseline = 8.7x.",Attr13,LOW,0.009896,0.052339,Attr30,HIGH,0.18902,0.417941,,,,
