feature,U_stat,p_value,sig_05,sig_01,sig_001,risky_median,safe_median,median_diff,n_risky,n_safe,effect_r
Attr26,4417894.5,7.600723688782463e-55,True,True,True,0.0152,0.0938,-0.0786,1079,11481,0.28674606770633415
Attr16,4424882.0,1.983404699804702e-54,True,True,True,0.0149,0.1026,-0.0877,1079,11481,0.28561795976896676
Attr46,4465113.0,4.61194077790261e-52,True,True,True,0.4834,0.7474,-0.264,1079,11481,0.27912280264149203
Attr35,4509811.0,1.6977135158131412e-49,True,True,True,-0.0183,0.0299,-0.0483,1079,11481,0.27190646366697313
Attr39,4519691.0,6.1388536162260644e-49,True,True,True,-0.0104,0.0165,-0.027,1079,11481,0.27031137151367224
Attr13,4544208.0,1.4424913264238875e-47,True,True,True,0.0072,0.0332,-0.026,1079,11481,0.2663531858535022
Attr24,4624398.0,3.1876248874319833e-43,True,True,True,0.0047,0.076,-0.0713,1079,11481,0.25340678506674086
Attr12,4673630.0,1.1618640328293865e-40,True,True,True,-0.0062,0.0505,-0.0567,1079,11481,0.24545844732470512
Attr19,4699848.5,2.4890102555639925e-39,True,True,True,-0.0018,0.0128,-0.0146,1079,11481,0.24122556031849862
ebit_to_assets,4705436.5,4.7503404485120734e-39,True,True,True,-0.0046,0.0236,-0.0282,1079,11481,0.24032339686175308
Attr14,4705436.5,4.750340449748275e-39,True,True,True,-0.0046,0.0236,-0.0282,1079,11481,0.24032339686175308
Attr18,4705441.0,4.752811960850162e-39,True,True,True,-0.0046,0.0236,-0.0282,1079,11481,0.24032267035216903
net_profit_to_assets,4716839.5,1.763327712327784e-38,True,True,True,-0.0047,0.0186,-0.0233,1079,11481,0.23848242157591393
Attr23,4725176.0,4.571551133098508e-38,True,True,True,-0.0011,0.01,-0.0111,1079,11481,0.23713652220992265
Attr25,4783422.5,3.06251650603185e-35,True,True,True,0.1124,0.2334,-0.121,1079,11481,0.2277328243245741
Attr31,4843573.5,1.9311999316427573e-32,True,True,True,0.002,0.0181,-0.0161,1079,11481,0.21802165143862218
Attr22,4845648.5,2.3316400800595993e-32,True,True,True,0.0067,0.0347,-0.028,1079,11481,0.21768664979711416
Attr11,4884167.5,1.280291862200153e-30,True,True,True,0.0092,0.0406,-0.0314,1079,11481,0.21146788920470527
Attr45,4885638.0,1.4737891565076715e-30,True,True,True,0.008,0.1097,-0.1016,1079,11481,0.21123048201731365
Attr42,4898694.0,5.422826846176911e-30,True,True,True,0.0047,0.0183,-0.0136,1079,11481,0.20912263554428767
Attr38,4955296.0,1.468272313662673e-27,True,True,True,0.3681,0.4739,-0.1058,1079,11481,0.19998443655024511
Attr55,4989259.0,3.702281328142146e-26,True,True,True,2.4,299.29,-296.89,1079,11481,0.19450122654998603
Attr54,5011783.0,2.9940388102261937e-25,True,True,True,0.8973,1.1398,-0.2425,1079,11481,0.19086480391223792
Attr40,5054634.0,1.4405732712917814e-23,True,True,True,0.0557,0.1054,-0.0497,1079,11481,0.18394665676030486
book_value_equity_to_liabilities,5055340.0,1.533475657063388e-23,True,True,True,0.374,0.5776,-0.2036,1079,11481,0.18383267547890503
Attr63,5059809.5,2.277711168147884e-23,True,True,True,3.0654,3.9651,-0.8997,1079,11481,0.18311109001542536
equity_to_assets,5060155.0,2.3481020459081233e-23,True,True,True,0.2629,0.3573,-0.0944,1079,11481,0.1830553102240321
Attr62,7321081.0,4.2592131979954346e-23,True,True,True,118.59,91.439,27.151,1079,11481,-0.18196344704257728
working_capital_to_assets,5081293.0,1.4924841277409603e-22,True,True,True,0.0075,0.0937,-0.0862,1079,11481,0.17964265253815404
Attr17,5087417.0,2.5346387122730612e-22,True,True,True,1.4028,1.6082,-0.2054,1079,11481,0.17865395371762627
total_liabilities_to_assets,7297061.5,3.4318449204618405e-22,True,True,True,0.7129,0.6216,0.0912,1079,11481,-0.17808558105308214
current_assets_to_short_liabilities,5095966.0,5.282080524712761e-22,True,True,True,1.0155,1.195,-0.1795,1079,11481,0.17727374695461307
Attr48,5111767.5,2.0218617273512334e-21,True,True,True,-0.0227,0.0,-0.0227,1079,11481,0.17472264891206402
Attr53,5131338.0,1.0380222817102753e-20,True,True,True,0.6889,0.934,-0.2451,1079,11481,0.17156305873127697
retained_earnings_to_assets,5169420.5,1.3345233727625672e-20,True,True,True,0.0,0.0,0.0,1079,11481,0.16541476956851542
Attr28,5143820.5,2.903084986548339e-20,True,True,True,0.0277,0.2471,-0.2193,1079,11481,0.16954780186856655
Attr32,7238871.0,4.484606690847428e-20,True,True,True,119.89,94.297,25.593,1079,11481,-0.16869092417588982
Attr49,5153428.5,6.358285452252645e-20,True,True,True,-0.012,0.0,-0.012,1079,11481,0.16799662318345365
