,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,working_capital_to_assets,Attr49,Attr38,retained_earnings_to_assets,Attr25,net_profit_to_assets,Attr13,Attr24,Attr35,Attr30,Attr52,Attr55,Attr41,Attr56,Attr29,Attr12,Attr57,Attr63,Attr21,Attr58,Attr15,cash_to_current_liabilities
2239,risky_upgrade,1,1,B,BB,B→BB,1,0.020096,0.025044,0.41609,0.0,0.064191,0.032686,0.054673,0.041231,0.043652,0.77163,0.39155,576.55,0.46557,0.041392,4.4577,0.10351,0.18977,2.6474,1.0452,0.96152,5240.0,-41.614
2240,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.19905,0.061984,0.52574,0.0,0.14218,0.075803,0.054016,0.089522,0.14715,0.45638,0.26044,-7371.0,0.24679,0.23902,4.5686,0.21964,0.31664,4.0662,1.0452,0.78417,3101.0,-57.769
2241,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.34665,-0.091895,0.046519,-0.43095,-0.45414,-0.17997,-0.14998,-0.17997,-0.10496,0.794,0.72416,-6341.0,-0.28823,0.026425,4.2623,-0.18875,-2.9482139999999997,1.2585,1.0452,0.96751,-1933.8,-207.04
2242,risky_upgrade,1,1,CCC,B,CCC→B,1,0.07811,0.008599,0.42922,-0.017461,0.11239,0.009294,0.020257,0.010984,0.019335,0.71237,0.56062,12253.0,0.97961,0.019492,5.1955,0.020144,0.043451,1.8192,1.0452,0.89153,14280.0,-90.07
2243,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.14715,-0.03645,0.32441,-0.19317,-0.16124,-0.073233,-0.044496,-0.073233,-0.16597,0.79113,0.60214,-700.0,0.95246,-0.17378,3.6773,-0.10843,-0.30505,1.4149,1.0452,1.0034,-6521.2,-87.455
2244,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.57977,0.026081,0.1289,-0.33821,-0.31183,0.001409,0.001274,0.001409,-0.0938,0.80282,0.59179,-4241.0,1.0311,0.15174,3.8642,0.001966,0.013118,1.543,1.0452,0.76569,37403.399999999994,-197.49
2245,risky_upgrade,1,1,CCC,B,CCC→B,1,0.064415,0.05107,0.47097,-0.22377,-0.11421,0.047729,0.044584,-0.058064,-0.010316,0.42476,0.30701,1053.0,0.31293,0.19339,4.2134,0.13372,0.12722,2.9993,0.96547,0.77536,3925.1,-28.32
2246,risky_upgrade,1,2,CCC,B,CCC→B,1,0.26988,-0.12576,0.51285,-0.12192,-0.2818,-0.1598,-0.078476,-0.1598,-0.1867,0.31058,0.24839,7132.0,-0.14462,-0.12222,4.422,-0.37528,-0.31159,3.5874,1.0452,1.0961,-1483.2,-47.528
2247,risky_upgrade,1,1,CCC,B,CCC→B,1,0.33607,0.039567,0.18384,-0.018694,0.043494,0.044743,0.048104,0.11855,0.097653,0.31215,0.28058,239.46,0.27899,0.039863,2.8528,0.17856,0.24338,3.712,1.0452,0.9117,2512.8,-89.361
2248,risky_upgrade,1,1,B,BB,B→BB,1,0.24002,0.063003,0.43124,-0.14559,0.21051,0.10255,0.071157,0.11716,0.14886,0.38503,0.28494,4255.0,0.20933,0.28117,4.2487,0.26318,0.29422,3.6986,1.0452,0.72896,2029.6,-35.608
2249,risky_upgrade,1,1,CCC,B,CCC→B,1,0.28123,-0.020167,0.69487,0.0,0.25226,-0.044683,-0.06312,-0.044683,-0.016366,0.90386,0.39831,2330.0,-1.5553,0.38858,3.9183,-0.15266,-0.13389,2.4186,1.0452,0.61496,-5441.5,-69.19
2250,risky_upgrade,1,1,B,BB,B→BB,1,0.5345,0.018978,0.63529,0.0,0.30854,-0.001005,0.000171,0.10755,0.038117,0.1235,0.19165,2084.0,0.33315,0.11199,3.591,0.000908,-0.001583,5.3135,1.0647,0.88631,37403.399999999994,57.287
