,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr49,working_capital_to_assets,Attr30,Attr25,Attr52,Attr24,Attr13,Attr35,Attr38,retained_earnings_to_assets,Attr55,Attr56,Attr29,Attr41,Attr57,cash_to_current_liabilities,Attr26,Attr58,Attr21,Attr53,Attr63,Attr45,Attr15
2229,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.018772,0.081671,0.43801,0.051184,0.43774,0.038522,0.027926,0.003018,0.12991,0.0,659.0,0.001575,3.9068,-2.2021499999999996,0.24192,-76.581,0.053518,0.97971,1.0452,2.1517,2.2881,0.062327,5808.7
2230,risky_upgrade,1,3,CCC,B,CCC→B,1,0.061984,-0.19905,0.45638,0.14218,0.26044,0.089522,0.054016,0.14715,0.52574,0.0,-7371.0,0.23902,4.5686,0.24679,0.31664,-57.769,0.099666,0.78417,1.0452,0.30249,4.0662,1.6291,3101.0
2232,risky_upgrade,1,3,BB,BBB,BB→BBB,0,0.059757,0.12886,0.15863,0.32437,0.16956,0.2399,0.0784,0.27528,0.43184,0.0,467.0,0.076182,3.5592,0.064121,0.45317,-24.097,0.4004,0.9246,1.0452,1.3695,6.3839,0.57587,749.55
2234,risky_upgrade,1,3,CCC,B,CCC→B,1,0.026081,-0.57977,0.80282,-0.31183,0.59179,0.001409,0.001274,-0.0938,0.1289,-0.33821,-4241.0,0.15174,3.8642,1.0311,0.013118,-197.49,0.001579,0.76569,1.0452,0.12456,1.543,0.016621,37403.399999999994
2235,risky_upgrade,1,1,B,BB,B→BB,1,0.0,0.070537,0.56429,0.069773,0.39952,-0.009726,-0.012484,-0.038106,0.7524,0.0,463.49,0.21049,3.8176,-2.2021499999999996,-0.017613,15.647,-0.02172,1.0055,1.0452,0.80765,3.1703,-0.30282,-16805.0
2236,risky_upgrade,1,3,CCC,B,CCC→B,1,0.05107,0.064415,0.42476,-0.11421,0.30701,-0.058064,0.044584,-0.010316,0.47097,-0.22377,1053.0,0.19339,4.2134,0.31293,0.12722,-28.32,0.076388,0.77536,0.96547,0.74884,2.9993,0.27599,3925.1
2237,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.12576,0.26988,0.31058,-0.2818,0.24839,-0.1598,-0.078476,-0.1867,0.51285,-0.12192,7132.0,-0.12222,4.422,-0.14462,-0.31159,-47.528,-0.2461,1.0961,1.0452,1.6853,3.5874,-0.34266,-1483.2
2238,risky_upgrade,1,3,CCC,B,CCC→B,1,0.039567,0.33607,0.31215,0.043494,0.28058,0.11855,0.048104,0.097653,0.18384,-0.018694,239.46,0.039863,2.8528,0.27899,0.24338,-89.361,0.054821,0.9117,1.0452,1.2053,3.712,0.282825,2512.8
2239,risky_upgrade,1,3,BB,BBB,BB→BBB,0,0.088833,0.37885,0.26739,0.3624,0.27576,0.17252,0.076995,0.20746,0.4243,0.22391,2142.0,0.090489,3.7524,0.098765,0.3733,-40.84,0.22708,0.91032,1.0452,8.1146,3.9871,0.22758,1298.6
2240,risky_upgrade,1,3,B,BB,B→BB,1,0.063003,0.24002,0.38503,0.21051,0.28494,0.11716,0.071157,0.14886,0.43124,-0.14559,4255.0,0.28117,4.2487,0.20933,0.29422,-35.608,0.15742,0.72896,1.0452,1.1071,3.6986,0.25994,2029.6
2241,risky_upgrade,1,1,B,BB,B→BB,1,-0.040663,0.17736,0.2628,0.47598,0.25347,-0.073529,-0.024909,-0.070917,0.48958,-0.012852,1662.0,-0.036513,3.9718,-0.59331,-0.13039,-40.794,-0.075796,1.048,1.0452,1.568,3.8051,-0.21232,-3850.9
