feature,risky_mean,risky_median,risky_std,safe_mean,safe_median,safe_std,mean_diff,median_diff,abs_mean_diff
Attr55,-929.7542,6.9355,10071.6322,1632.5265,316.0,15258.3316,-2562.2807,-309.0645,2562.2807
Attr15,1670.0183,359.45,9760.898,2155.7712,1464.6,8461.4104,-485.7529,-1105.15,485.7529
cash_to_current_liabilities,-103.2027,-42.8105,432.7064,-33.2761,-24.236,625.6599,-69.9266,-18.5745,69.9266
Attr32,195.3232,116.65,241.8518,134.847,91.877,159.9779,60.4763,24.773,60.4763
Attr62,189.6515,113.855,216.4777,131.6673,89.024,150.1394,57.9842,24.831,57.9842
Attr27,20.9511,1.0841,334.9256,34.674,0.5564,412.2721,-13.7229,0.5277,13.7229
Attr43,128.224,100.9,114.7801,118.4931,96.94,98.9838,9.7309,3.96,9.7309
Attr44,69.8044,48.4355,75.9932,63.9351,50.254,62.4134,5.8693,-1.8185,5.8693
Attr60,35.0849,9.7917,106.7381,30.8889,9.7917,94.8128,4.196,0.0,4.196
Attr20,54.5738,36.3475,59.3592,52.0245,36.054,54.1485,2.5493,0.2935,2.5493
Attr47,51.3369,34.552,60.0665,53.236,36.684,58.6437,-1.899,-2.132,1.899
Attr37,15.0022,3.0963,80.1593,16.8427,3.0963,81.2372,-1.8405,0.0,1.8405
Attr63,5.3563,3.1798,8.2014,6.2078,4.0742,7.6799,-0.8514,-0.8944,0.8514
Attr54,2.2187,0.9045,7.6564,3.0572,1.1442,8.7797,-0.8385,-0.2397,0.8385
Attr53,1.8296,0.6832,7.3132,2.6655,0.9341,8.4013,-0.8359,-0.2509,0.8359
Attr28,1.4338,0.0247,7.5289,2.2658,0.2527,8.8173,-0.8321,-0.228,0.8321
Attr61,12.5151,7.4036,16.5838,11.9056,7.2344,15.6732,0.6095,0.1692,0.6095
Attr33,5.6399,3.3784,8.2509,6.1575,3.9698,7.5788,-0.5176,-0.5914,0.5176
Attr45,0.1696,0.0077,7.1019,0.5001,0.1035,5.383,-0.3305,-0.0958,0.3305
current_assets_to_short_liabilities,1.9388,1.0146,4.3845,2.1709,1.203,4.0368,-0.2321,-0.1884,0.2321
Attr46,1.212,0.488,3.4596,1.4401,0.7517,3.0989,-0.2281,-0.2638,0.2281
Attr30,0.637,0.3603,0.8935,0.4369,0.2777,0.6581,0.2001,0.0825,0.2001
Attr64,21.3889,4.2825,62.4324,21.5871,4.7447,61.1255,-0.1982,-0.4622,0.1982
Attr50,1.5058,0.8179,3.4243,1.7001,0.9834,3.2135,-0.1943,-0.1655,0.1943
Attr25,-0.0174,0.1133,0.5868,0.1697,0.2296,0.4661,-0.1871,-0.1164,0.1871
Attr41,0.0686,0.0616,0.9805,0.2362,0.136,0.9873,-0.1676,-0.0744,0.1676
Attr34,3.3994,1.7669,6.262,3.5666,1.8463,6.068,-0.1672,-0.0794,0.1672
book_value_equity_to_liabilities,1.6039,0.3801,5.619,1.7537,0.5618,4.9818,-0.1497,-0.1816,0.1497
Attr17,2.6724,1.3978,5.7248,2.8201,1.5949,5.0883,-0.1477,-0.1971,0.1477
Attr29,3.7381,3.7968,0.8116,3.8762,3.8978,0.8091,-0.1381,-0.101,0.1381
equity_to_assets,0.1993,0.2653,0.4663,0.3321,0.3521,0.3599,-0.1328,-0.0868,0.1328
total_liabilities_to_assets,0.779,0.7154,0.4589,0.6475,0.6269,0.3595,0.1314,0.0885,0.1314
Attr52,0.5001,0.2957,0.6397,0.3692,0.2514,0.4437,0.131,0.0443,0.131
working_capital_to_assets,-0.0354,0.0076,0.4105,0.0915,0.0972,0.3436,-0.1269,-0.0897,0.1269
Attr38,0.3141,0.3766,0.4004,0.4357,0.4738,0.3194,-0.1216,-0.0972,0.1216
Attr16,0.0999,0.0146,0.9959,0.2177,0.1022,0.9039,-0.1178,-0.0876,0.1178
Attr12,-0.0064,-0.0198,1.0875,0.1059,0.0497,0.9205,-0.1124,-0.0695,0.1124
Attr51,0.6239,0.5566,0.3927,0.5166,0.4734,0.3157,0.1073,0.0832,0.1073
Attr24,-0.0473,0.0018,0.3812,0.0558,0.0721,0.3252,-0.1031,-0.0703,0.1031
Attr26,0.0895,0.0137,0.9626,0.1919,0.0932,0.8385,-0.1024,-0.0794,0.1024
retained_earnings_to_assets,-0.1757,0.0,0.4392,-0.078,0.0,0.372,-0.0977,0.0,0.0977
Attr57,-0.0387,0.0214,0.954,0.0485,0.069,0.7515,-0.0872,-0.0476,0.0872
Attr35,-0.0598,-0.0146,0.2083,0.0193,0.0295,0.161,-0.079,-0.0441,0.079
Attr39,-0.0816,-0.008,0.2001,-0.0117,0.0158,0.1406,-0.0699,-0.0238,0.0699
ebit_to_assets,-0.058,-0.0081,0.2133,0.0072,0.0227,0.1665,-0.0651,-0.0308,0.0651
Attr18,-0.058,-0.0081,0.2133,0.0072,0.0227,0.1666,-0.0651,-0.0308,0.0651
Attr14,-0.058,-0.0081,0.2133,0.0072,0.0227,0.1665,-0.0651,-0.0308,0.0651
Attr48,-0.0785,-0.0255,0.2584,-0.0149,0.0,0.1828,-0.0636,-0.0255,0.0636
net_profit_to_assets,-0.0643,-0.0073,0.2047,-0.0025,0.0177,0.1571,-0.0618,-0.0249,0.0618
sales_to_assets,1.7592,1.1242,1.5191,1.8203,1.2178,1.4085,-0.061,-0.0936,0.061
Attr19,-0.0755,-0.0059,0.2003,-0.0173,0.0118,0.1443,-0.0582,-0.0177,0.0582
Attr22,-0.0268,0.0066,0.2002,0.0313,0.035,0.1528,-0.0581,-0.0284,0.0581
Attr11,-0.0278,0.0049,0.2094,0.0295,0.0398,0.1645,-0.0573,-0.0349,0.0573
Attr13,-0.0426,0.0061,0.1906,0.0133,0.0316,0.1353,-0.0559,-0.0255,0.0559
Attr23,-0.0765,-0.0056,0.1956,-0.0216,0.0093,0.1415,-0.0549,-0.0149,0.0549
Attr49,-0.0866,-0.0129,0.2221,-0.0321,0.0,0.1547,-0.0545,-0.0129,0.0545
Attr42,-0.0532,0.0041,0.1832,-0.0016,0.0176,0.1274,-0.0517,-0.0135,0.0517
Attr31,-0.0615,0.001,0.2027,-0.011,0.0168,0.1539,-0.0505,-0.0159,0.0505
Attr21,1.0096,1.0452,0.3337,1.048,1.0452,0.3168,-0.0385,0.0,0.0385
Attr56,-0.0178,0.0087,0.2379,0.0093,0.0217,0.1627,-0.0271,-0.013,0.0271
Attr36,2.1667,1.744,1.6789,2.1935,1.82,1.5359,-0.0269,-0.0759,0.0269
Attr40,0.6272,0.056,2.469,0.6454,0.1065,2.2237,-0.0183,-0.0505,0.0183
Attr58,1.0019,0.9866,0.2204,0.9893,0.9821,0.1637,0.0126,0.0045,0.0126
Attr59,0.3783,0.0,1.217,0.3733,0.0045,1.2042,0.005,-0.0045,0.005
