,group,is_risky,default,from_grade,to_grade,transition,year_horizon,l1_count,l2_count,total_warnings,any_warning
1,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
2,safe_upgrade,0,0,CCC,B,CCC→B,1,37,17,54,1
3,safe_upgrade,0,0,A,AA,A→AA,1,5,0,5,1
4,safe_upgrade,0,0,CCC,B,CCC→B,1,36,16,52,1
6,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
7,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
8,safe_upgrade,0,0,CCC,B,CCC→B,1,36,14,50,1
9,safe_upgrade,0,0,B,BB,B→BB,1,21,10,31,1
11,safe_upgrade,0,0,B,BB,B→BB,1,12,9,21,1
13,safe_upgrade,0,0,CCC,B,CCC→B,1,16,5,21,1
14,safe_upgrade,0,0,CCC,B,CCC→B,1,27,4,31,1
16,safe_upgrade,0,0,CCC,B,CCC→B,1,30,16,46,1
17,safe_upgrade,0,0,BBB,A,BBB→A,1,4,0,4,1
18,safe_upgrade,0,0,CCC,B,CCC→B,1,36,17,53,1
19,safe_upgrade,0,0,BBB,A,BBB→A,1,15,3,18,1
21,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
22,safe_upgrade,0,0,CCC,B,CCC→B,1,6,1,7,1
23,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
24,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
25,safe_upgrade,0,0,BB,BBB,BB→BBB,1,8,3,11,1
26,safe_upgrade,0,0,BB,BBB,BB→BBB,1,9,8,17,1
27,safe_upgrade,0,0,BB,BBB,BB→BBB,1,12,7,19,1
29,safe_upgrade,0,0,B,BB,B→BB,1,21,3,24,1
30,safe_upgrade,0,0,CCC,B,CCC→B,1,37,17,54,1
31,safe_upgrade,0,0,CCC,B,CCC→B,1,35,7,42,1
33,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,1,4,1
34,safe_upgrade,0,0,BBB,A,BBB→A,1,4,0,4,1
37,safe_upgrade,0,0,BBB,A,BBB→A,1,5,0,5,1
38,safe_upgrade,0,0,BB,BBB,BB→BBB,1,4,0,4,1
39,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
40,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
42,safe_upgrade,0,0,CCC,B,CCC→B,1,16,12,28,1
43,safe_upgrade,0,0,CCC,B,CCC→B,1,2,0,2,1
44,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
45,safe_upgrade,0,0,B,BB,B→BB,1,16,3,19,1
46,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
47,safe_upgrade,0,0,B,BB,B→BB,1,8,1,9,1
48,safe_upgrade,0,0,B,BB,B→BB,1,9,0,9,1
50,safe_upgrade,0,0,B,BB,B→BB,1,4,0,4,1
52,safe_upgrade,0,0,B,BB,B→BB,1,27,15,42,1
53,safe_upgrade,0,0,CCC,B,CCC→B,1,37,18,55,1
54,safe_upgrade,0,0,CCC,B,CCC→B,1,34,13,47,1
55,safe_upgrade,0,0,A,AA,A→AA,1,5,0,5,1
56,safe_upgrade,0,0,B,BB,B→BB,1,35,18,53,1
59,safe_upgrade,0,0,B,BB,B→BB,1,23,1,24,1
61,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
62,safe_upgrade,0,0,CCC,B,CCC→B,1,9,0,9,1
63,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
64,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
65,safe_upgrade,0,0,BBB,A,BBB→A,1,5,0,5,1
66,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
67,safe_upgrade,0,0,CCC,B,CCC→B,1,13,1,14,1
68,safe_upgrade,0,0,A,AA,A→AA,1,9,0,9,1
69,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
70,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
71,safe_upgrade,0,0,B,BB,B→BB,1,6,2,8,1
72,safe_upgrade,0,0,CCC,B,CCC→B,1,17,12,29,1
73,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
74,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
75,safe_upgrade,0,0,BB,BBB,BB→BBB,1,4,0,4,1
77,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
78,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
79,safe_upgrade,0,0,CCC,B,CCC→B,1,24,14,38,1
