feature,coef,se,p_value,OR_mle,OR_ci_low,OR_ci_high,direction,converged,n_iter,rank_biserial,OR_mle_standard,OR_diff_firth_vs_mle,fdr_q,sig_fdr
Attr51,0.2892547193368912,0.02792613098399724,0.0,1.335431845523637,1.2643024009648651,1.410563020902012,risk-increasing,True,6,-0.15968377400679712,1.335218695112418,0.00021315041121883205,0.0,True
equity_to_assets,-0.30136876181087463,0.02704629321880847,0.0,0.7398049106406958,0.7016093422093608,0.7800798434134444,risk-reducing,True,6,0.17241718390860605,0.7396952672207059,0.00010964341998986882,0.0,True
total_liabilities_to_assets,0.3009588993344578,0.027186762907466303,0.0,1.3511538070760511,1.2810420178285555,1.4251028342307133,risk-increasing,True,6,-0.17364958595349234,1.3513007700539434,0.0001469629778922954,0.0,True
Attr52,0.20429274455860472,0.0236339166073714,0.0,1.2266571981194836,1.171132370973062,1.2848145256612944,risk-increasing,True,6,-0.1273183624869214,1.2262429610595833,0.0004142370599002909,0.0,True
Attr62,0.2635482084888825,0.023524108492456994,0.0,1.301540038707727,1.2428930948470158,1.3629542873659795,risk-increasing,True,6,-0.17704412347601273,1.3010263649162432,0.0005136737914837042,0.0,True
Attr49,-0.2482968868719852,0.024057165554411078,0.0,0.7801282990432196,0.7441980636989518,0.8177932631846542,risk-reducing,True,6,0.16470444637685144,0.7802106143713652,8.231532814562126e-05,0.0,True
Attr38,-0.31898813477557647,0.027631730791288337,0.0,0.726884173899025,0.6885651550503701,0.7673356666243404,risk-reducing,True,6,0.1858187972784907,0.7267874177967267,9.675610229831211e-05,0.0,True
working_capital_to_assets,-0.335893619632889,0.029599757711756068,0.0,0.7146991317281606,0.674416046591673,0.7573883383623711,risk-reducing,True,6,0.1892822719908437,0.7149174297617462,0.00021829803358563993,0.0,True
Attr30,0.2150576999258578,0.0238820853090339,0.0,1.239933438969555,1.1832319946693315,1.2993520628256188,risk-increasing,True,6,-0.16397984701535528,1.2396370340230174,0.00029640494653770944,0.0,True
Attr48,-0.27046069613599627,0.02608080053384764,0.0,0.7630278893512613,0.7250039862473936,0.8030460121210591,risk-reducing,True,6,0.17164936899705252,0.7628922612833815,0.00013562806787981163,0.0,True
Attr11,-0.3201075622114457,0.029871067131925243,0.0,0.7260709350779111,0.6847826584709338,0.7698486464918106,risk-reducing,True,6,0.2175044226043048,0.726386690807865,0.0003157557299539038,0.0,True
Attr22,-0.3493973216874891,0.029921532246861664,0.0,0.7051129179519942,0.6649506528943602,0.747700938255583,risk-reducing,True,6,0.21783736606574422,0.7053811358244342,0.00026821787244002415,0.0,True
Attr25,-0.30230622259309126,0.02516194079930298,0.0,0.7391116975312989,0.703545505319765,0.7764758601923105,risk-reducing,True,6,0.21919030834175146,0.739311135540202,0.0001994380089030967,0.0,True
Attr31,-0.2554337386009423,0.025823366265393298,0.0,0.7745804596450709,0.7363522998965508,0.8147932566357965,risk-reducing,True,6,0.2232502535019374,0.7746071758452013,2.671620013039444e-05,0.0,True
Attr42,-0.2912786496512024,0.02452196119758783,0.0,0.7473074120531098,0.7122396690135722,0.7841017460919808,risk-reducing,True,6,0.20990839102196546,0.748001856290091,0.0006944442369811732,0.0,True
Attr23,-0.27888607807375976,0.024382966956170263,0.0,0.7566260946075507,0.7213175453514825,0.7936630000620818,risk-reducing,True,6,0.24336297818884833,0.7566035035595524,2.259104799828826e-05,0.0,True
