antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,lift_vs_baseline,antecedents_str,consequents_str,has_distress,conf_safe,conf_diff,safe_ant_present,group_redundant
frozenset({'Attr12=LOW'}),frozenset({'Attr13=LOW'}),0.5045703839122486,0.5255941499085923,0.4716636197440585,0.9347826086956522,1.7785255198487713,1.0,0.20646437774264814,7.274223034734923,0.8835493006092852,0.8445171849427169,0.8625282734355366,0.9160869565217391,10.712403624513154,Attr12=LOW,Attr13=LOW,True,0.8641562064156206,0.07062640228003159,True,True
frozenset({'Attr13=LOW'}),frozenset({'Attr12=LOW'}),0.5255941499085923,0.5045703839122486,0.4716636197440585,0.8973913043478261,1.7785255198487713,1.0,0.20646437774264814,4.828339478821307,0.9227046646054579,0.8445171849427169,0.7928894593293759,0.9160869565217391,10.283907479532628,Attr13=LOW,Attr12=LOW,True,0.8697361033127456,0.027655201035080457,True,True
frozenset({'Attr21=LOW'}),frozenset({'Attr12=LOW'}),0.35283363802559414,0.5045703839122486,0.236745886654479,0.6709844559585493,1.3298133964106031,1.0,0.05871648245874958,1.5057939512588352,0.3832319001810527,0.3814432989690722,0.3358985144255589,0.570093677254637,7.689334665769956,Attr21=LOW,Attr12=LOW,True,0.4617435350573181,0.2092409209012312,True,False
frozenset({'Attr24=LOW'}),frozenset({'Attr12=LOW'}),0.4844606946983547,0.5045703839122486,0.4369287020109689,0.9018867924528301,1.787435056056877,1.0,0.1924841832966254,5.04957108704823,0.8545209056648565,0.791390728476821,0.8019633781243471,0.8839144107191687,10.33542478700286,Attr24=LOW,Attr12=LOW,True,0.7507624064319379,0.15112438602089218,True,True
frozenset({'Attr12=LOW'}),frozenset({'Attr24=LOW'}),0.5045703839122486,0.4844606946983547,0.4369287020109689,0.8659420289855072,1.787435056056877,1.0,0.1924841832966254,3.8456445476555148,0.889206256079297,0.791390728476821,0.7399655668619591,0.8839144107191687,9.923505683173039,Attr12=LOW,Attr24=LOW,True,0.7553695955369596,0.11057243344854761,True,True
frozenset({'Attr25=LOW'}),frozenset({'Attr12=LOW'}),0.46983546617915906,0.5045703839122486,0.29981718464351004,0.6381322957198443,1.2647042237636046,1.0,0.06275212309790146,1.3690904444575493,0.39478553406223715,0.4444444444444444,0.26958806553046066,0.6161675971352845,7.31285611648966,Attr25=LOW,Attr12=LOW,True,0.5078664090532707,0.13026588666657357,True,False
frozenset({'Attr29=LOW'}),frozenset({'Attr12=LOW'}),0.36837294332723947,0.5045703839122486,0.22120658135283364,0.6004962779156328,1.1901140000719244,1.0,0.03533650391532342,1.2401126415115764,0.25290930619176916,0.33941093969144465,0.19362163844963515,0.519451037508541,6.88155560898381,Attr29=LOW,Attr12=LOW,True,0.37938420348058904,0.22111207443504372,True,False
frozenset({'Attr30=HIGH'}),frozenset({'Attr12=LOW'}),0.43418647166361973,0.5045703839122486,0.283363802559415,0.6526315789473685,1.293440122044241,1.0,0.06428616786259775,1.4262367735859511,0.4009588826932098,0.4323570432357044,0.2988541464362013,0.6071128909229596,7.479014721447128,Attr30=HIGH,Attr12=LOW,True,0.4833424358274167,0.16928914311995175,True,False
frozenset({'Attr12=LOW'}),frozenset({'Attr35=LOW'}),0.5045703839122486,0.5383912248628885,0.45612431444241314,0.9039855072463768,1.6790494820501465,1.0,0.1844680474183597,4.807698941050671,0.816311589969607,0.7772585669781933,0.7920002869852203,0.8755920745060407,10.359475598124154,Attr12=LOW,Attr35=LOW,True,0.7598326359832637,0.14415287126311316,True,True
frozenset({'Attr35=LOW'}),frozenset({'Attr12=LOW'}),0.5383912248628885,0.5045703839122486,0.45612431444241314,0.8471986417657046,1.6790494820501465,1.0,0.1844680474183597,3.2423115986187283,0.8761205579475781,0.7772585669781933,0.691578070279854,0.8755920745060407,9.708710577528919,Attr35=LOW,Attr12=LOW,True,0.7677564825253664,0.07944215924033815,True,True
