feature,definition,OR_mle,rank_biserial,direction
Attr49,(net profit + depreciation) / total liabilities,0.7825400609238483,0.17569373248542064,risk-reducing
working_capital_to_assets,Attr3  — working capital / total assets,0.724287457158247,0.18534752884397632,risk-reducing
Attr30,total liabilities / cash,1.2431046767513945,-0.15929104879728095,risk-increasing
Attr25,equity / total assets (alt),0.7307410114507883,0.22371099939794514,risk-reducing
Attr52,short-term liabilities / sales,1.218142834702351,-0.1172357599995848,risk-increasing
Attr24,gross profit (3-year avg) / total assets,0.7647260355771608,0.252321118769989,risk-reducing
Attr13,gross profit + depreciation / sales,0.7336452274777593,0.2575676192242611,risk-reducing
Attr35,total sales / total assets (alt),0.6603977310781054,0.26071727042212256,risk-reducing
Attr38,total liabilities / total assets (alt),0.7290522170123523,0.178193759407834,risk-reducing
retained_earnings_to_assets,Attr6  — retained earnings / total assets,0.8163456036126342,0.17654083944162213,risk-reducing
Attr55,profit on operating activities (×1000) / short-term liabilities,0.7749488789796458,0.2101496181162198,risk-reducing
Attr56,net profit / total assets - ROA,0.8359113581227887,0.12982258865628182,risk-reducing
Attr29,log(total assets),0.834247420413556,0.08973344951419959,risk-reducing
Attr41,short-term liabilities / total assets,0.8013195564069622,0.1581126605767006,risk-reducing
Attr57,total assets / current liabilities,0.8704658406972386,0.12490225614472128,risk-reducing
cash_to_current_liabilities,Attr5  — cash / current liabilities,0.893657099750586,0.14447876309678565,risk-reducing
Attr26,gross profit / (depreciation × total assets),0.8263892334211613,0.2860967001953366,risk-reducing
Attr58,total costs / total sales,1.11106236334088,-0.08069642821310863,risk-increasing
Attr21,sales (t) / sales (t-1),0.8959303767970082,0.07510400380059257,risk-reducing
Attr53,short-term liabilities / total assets,0.8953434906853861,0.16775406100394186,risk-reducing
Attr63,sales / short-term liabilities,0.9049574958826371,0.1706333259500068,risk-reducing
Attr45,profit on sales / sales,0.8984290680383473,0.20484160285279962,risk-reducing
Attr15,total liabilities × 365 / (gross profit + depreciation),0.9286454071053384,0.1408368384765989,risk-reducing
